GENOTYPE,Gaillac.2012.OPT,Karlsruhe.2012.WD,Karlsruhe.2012.OPT,Debrecen.2012.OPT,Debrecen.2012.WD,Debrecen.2013.WD,Martonvasar.2013.OPT,Martonvasar.2013.WD,Karlsruhe.2013.WD,Karlsruhe.2013.OPT,Gaillac.2013.WD,Murony.2013.OPT,Murony.2013.WD,Gaillac.2013.OPT,Nerac.2013.WD,Craiova.2012.OPT,Campagnola.2013.OPT,Campagnola.2013.WD,Nerac.2013.OPT,Nerac.2012.WD,Nerac.2012.OPT,Craiova.2012.WD,Campagnola.2012.OPT,Campagnola.2012.WD,Graneros.2013.WD
11430,117.1163624,100.1039985,101.6921278,56.61113596,52.8533457,62.94414497,91.93904946,79.48506487,107.1508779,86.66094066,69.9842909,54.94305426,52.62432964,104.2889881,28.87707058,30.29268623,56.16765889,27.77098004,65.11489617,52.21920913,105.6959407,6.38497455,32.83665272,13.14055011,60.6240874
A3,113.1896638,71.86929526,70.27740553,65.96566278,46.39094467,63.69833653,93.41818582,63.60599782,101.1097161,79.9873062,71.11711469,67.44205241,67.15516629,101.9950704,37.74088258,22.05008092,34.32006577,26.2770645,64.7487595,42.38994845,87.07242998,8.21101216,27.45517588,14.97625966,56.74953218
A310,111.5036752,61.72540707,89.97311572,69.10851041,53.59083342,58.0955645,93.51762448,59.70269868,62.26092935,50.84650338,71.02631415,43.37370554,47.85029396,87.96404008,35.29775244,51.48530511,58.58112817,45.68548128,55.69633953,43.48472681,90.73747002,28.24467744,54.14802938,27.64418895,54.90507839
A347,97.60317393,74.51119099,69.760729,61.27174744,51.53844773,45.64855812,84.50946734,71.33537027,61.52649194,70.25681759,69.37068727,53.22318995,47.1833267,70.11671993,41.04215776,53.95401293,32.42820953,23.62022803,45.09721715,41.37888877,55.62796208,18.98919672,41.54911873,18.12478062,52.52328835
A374,111.7428952,105.7870399,107.0883254,62.43002991,60.47026734,55.5777066,119.2550793,82.58010536,100.3027806,84.80999511,75.12429152,79.37279681,76.8259787,95.21128235,40.99262073,60.51951036,64.35317227,49.46661926,54.35795257,50.48225873,79.39639881,28.77970002,58.84222399,28.57257337,72.477746
A375,108.6226605,85.61138489,79.79773264,67.14646192,59.64189392,51.27101393,101.2146094,73.53976197,90.34033207,83.25890917,72.38039686,72.01060492,64.59439566,96.04673845,41.85523014,45.38554079,50.44163907,40.73191514,71.7527527,56.1760898,93.71907498,6.73370444,57.62800836,28.38816121,65.42902602
A554,98.61330578,83.16715148,84.44087276,58.95767525,46.23267461,45.91731746,93.68283952,78.1726768,81.39815921,69.44728845,62.51415409,62.78531639,46.21698587,79.74804934,32.29491895,31.82585954,49.89159702,38.21206328,61.91055878,44.44781832,70.73566677,14.90151375,23.00044099,13.80483487,68.36200216
AS5707,115.7013147,97.88565722,85.7034828,52.67390801,50.2233522,81.79614191,115.1274581,83.72308534,124.5673298,95.49789965,94.33176819,80.59018611,78.55279254,131.94207,46.07978927,46.01872628,61.27888092,36.73621505,92.1084412,58.09210262,94.65907067,14.27500147,37.37203601,14.51222986,73.55452403
B100,120.196766,95.37822695,87.55768744,64.32522929,51.7882174,54.7127187,123.5198712,79.14652909,102.2206124,86.10846327,83.59702307,73.36327766,80.25328391,107.2265234,38.90264273,42.86523965,51.41746017,41.32634547,81.32160347,47.43353574,84.76538693,11.49448234,49.73144678,20.0668933,70.5264947
B104,114.0166721,113.0344218,105.8288578,64.42229855,62.07428706,67.11289115,118.5951431,83.8776284,105.4394704,98.05154679,84.33239918,82.7833969,80.56445523,110.5219387,39.58750055,42.42470434,48.95833807,34.7147299,81.29180162,44.0055648,90.93589416,17.13993532,40.75766145,13.23551552,65.96098927
B105,87.78571202,102.4509575,91.12446674,60.68477817,58.41060103,64.54027268,89.84787964,72.95242669,103.4801769,69.96602239,79.12769788,63.48553998,66.5647627,112.6943163,44.02978442,18.27005896,39.32129379,31.23914183,77.27983144,39.92315485,82.842489,5.92845414,16.85392449,11.13801779,59.60786964
B106,119.6052677,111.5706417,80.28154245,68.04877376,49.51577592,57.59512267,89.73212787,70.42909458,94.80894393,79.31719463,73.27871469,73.61245815,61.39678787,97.6103395,39.75891962,36.56496292,42.75255216,32.29470243,87.22168364,44.67192102,97.58225758,19.18009722,25.88102572,11.54438431,50.54009501
B107,123.3663361,111.1023064,92.13307382,65.06556842,57.86832141,69.48736035,117.9685741,104.5601824,111.3274431,82.01833974,81.1242041,74.83889961,67.25112761,102.9326506,52.48004355,48.8478317,66.91912232,49.24620768,83.13714937,60.4546212,103.1535894,17.15835862,40.04173526,12.41518977,78.50642444
B108,104.5719633,98.72460703,78.22198277,52.26094434,50.07820318,58.91818125,97.45474418,65.47203405,104.332142,88.82239563,88.07150483,77.21297418,73.47555997,88.71861328,40.23881471,44.94838243,41.13158728,28.12403762,83.93312559,31.3917791,70.39206846,11.93772537,37.79051625,17.29012857,71.84227735
B109,129.0393311,125.1360681,105.0157214,76.92124819,60.14133446,56.60571663,129.7813926,84.31648901,106.5614827,102.4903032,84.1580089,84.10955715,76.87240979,110.8408512,31.09561143,53.25402301,61.22483608,42.22442888,89.6356395,42.65539572,97.37812183,19.72272248,50.93360081,19.76123215,71.7051495
B110,131.5259491,113.3219345,83.14186277,73.21023746,60.60974612,60.1770696,113.7264441,73.72762121,107.3139793,101.8971305,94.65580454,91.35266667,90.4402646,128.4721421,41.25414261,45.35075886,62.08892744,42.25042995,83.60267827,55.30588468,102.9591523,18.54369677,60.64765238,26.86159943,68.46292751
B113,118.162307,95.00033248,100.5391482,80.87875335,60.56356218,64.25008566,113.2174269,83.41365119,105.334857,91.33662574,81.93783769,67.40377115,60.32059274,108.593671,35.58300921,58.15612011,49.44116298,43.89794244,74.3552168,36.12009299,84.45387515,16.00327734,34.62256537,19.23558281,60.17461549
B37,98.36615262,113.6126409,106.5782831,64.48458511,49.96643848,65.63673318,84.63716155,67.44637567,105.3908982,73.6077022,85.83079253,83.74779557,68.3644048,112.2888495,39.42954181,30.21675893,47.05535162,31.06599072,93.26832476,39.88362857,93.14795934,7.3689722,49.84345641,17.90170983,59.89415228
B73,115.699005,129.1311063,116.5826619,70.34993015,58.83378453,70.52336946,88.5934522,67.29475104,111.0648755,74.65247808,79.77948762,96.50613098,78.31034565,104.9301686,35.37269955,38.87452582,56.56596339,38.69157839,92.37155626,51.83222297,102.6038104,12.34406877,46.52607317,21.41397939,68.26844459
B84,128.6488511,108.0117356,104.6780013,65.79243876,55.54441011,64.7454628,104.8297854,80.94907306,103.6379794,91.16283316,86.86966472,83.50391153,74.14391472,112.4155248,46.16546929,47.57050317,61.16399706,48.61816317,74.39763195,54.46737201,101.6595238,13.45403774,64.84513994,30.37411249,81.32294089
B89,107.2825927,84.42294668,72.43824957,58.57766921,45.60110779,40.66839891,89.20250529,69.77861519,92.66966811,72.38791276,70.47909229,46.13567573,51.77381179,97.40948334,35.53501009,25.99313085,39.61993904,34.73620587,74.41687478,43.56440089,77.25077058,19.43906529,15.74010002,3.77433448,45.40949783
B97,120.7166649,115.5154979,107.7264784,74.51470323,56.58526507,69.03385949,123.9706167,105.0055038,119.347143,93.80614597,91.71345654,76.99466156,87.86832244,113.373959,55.2729165,54.07167941,60.5455422,41.53714398,102.7080996,64.32199733,99.93677995,27.1224412,73.42247508,40.86296877,77.56766326
B98,112.9644587,109.2405147,113.1897422,61.89045017,50.63359694,60.71758008,84.59002497,67.90974533,124.761666,95.09600392,85.31924841,81.63308126,65.16710975,120.0095374,32.3814619,47.71078032,44.64381711,32.94967678,72.82515018,27.16979695,94.42250032,7.568326,27.43621119,16.8262967,50.04818839
C103,117.4879564,91.09114273,86.14710814,63.05138555,37.08135644,58.20859913,92.11333177,61.39953499,94.12797543,91.83173229,84.21607458,79.51640526,73.19326443,102.2562037,37.40631472,21.51997184,33.4797384,19.36544713,71.86248196,22.84873606,89.34378382,6.93479348,17.18279444,4.92643319,68.21082208
CO109,96.93114188,86.00623036,66.97091313,54.56713301,52.22609878,39.36292408,73.61378032,56.95057347,56.04003762,44.1494035,70.44592814,54.01994694,42.81317081,95.58690947,34.31960964,25.36535025,41.91878786,38.10232375,69.32581305,38.18489402,81.61178758,0.87503187,32.4598024,16.44665963,51.77475275
CR1HT,113.3565879,88.46878944,90.9888678,54.51910887,53.67817958,59.57020196,103.816314,83.66485852,88.50318188,59.93968763,77.20064426,69.24814113,62.91490295,106.2591073,37.2039752,24.3696552,49.18818052,32.00570948,81.96585417,42.60746748,87.74431379,3.87247546,23.53316444,13.50595994,66.11888961
D09,100.6223953,86.53043268,95.36233729,62.46079954,52.4400691,46.02160687,98.84439837,69.55778514,82.44451617,54.04436793,61.87114522,62.63110491,52.1884436,93.96917381,23.74288353,48.5577566,54.05414075,31.66677242,67.24127581,35.67795455,79.2376731,12.54866164,47.88085762,27.06671812,67.60503059
DE811,101.5976476,109.2511069,109.666709,57.0689778,55.6974661,69.81635452,117.9048485,83.68917747,115.2026776,107.7581523,90.35154038,91.34981082,81.19195444,102.3854191,45.26195652,40.99040268,57.27353076,50.52720914,81.58968375,48.94025298,83.70509831,24.42631537,37.94884231,16.88994347,75.80582084
DK4676A,114.6726189,91.74301687,96.1927547,60.67606426,54.46947298,55.83557887,127.1405911,69.09731937,90.96759226,65.45801457,73.67144734,61.07330766,62.04331708,92.6839392,27.89560833,41.4802774,40.83167993,35.94853584,67.75232646,36.38028027,93.99648371,14.54587077,43.09708583,15.5129299,65.20824358
DK78010,119.4930353,104.7586304,107.9233109,65.45413636,52.50863204,65.15662245,124.2403278,77.25541909,103.0599607,76.15867742,85.62841777,71.61036464,68.83263054,101.2043206,43.76662014,46.9831379,56.7380103,36.50627733,77.39875799,55.21960392,92.03330932,19.3282423,49.79486353,16.89003763,60.88891848
DK78371A,126.6199451,123.1195329,111.1126858,57.35416565,57.06309633,69.03223718,78.10681871,75.62872005,120.8829386,87.47761445,77.92560246,76.64513437,72.30588559,120.6611103,36.02866719,25.52360187,53.98697203,31.11687472,86.59210734,52.02408626,108.8730902,5.3457051,9.45991948,6.02928758,70.80791573
DKFAPW,106.7012005,101.5026028,104.8869336,63.66286455,55.35963806,64.79740212,95.83152073,80.46378979,93.31571581,71.56601196,76.92333767,68.10543093,52.56595946,103.7472801,36.3327191,42.64464442,55.82847441,38.04382102,81.17243572,41.38979073,95.1191003,9.55046364,51.95615919,24.16758458,65.54779605
DKFBHJ,113.0862135,103.336762,86.87041152,56.35970823,42.25946353,50.74649945,93.7730448,75.80030862,85.28739152,78.35219836,73.65376108,73.81519264,65.49925342,99.82693126,27.12889966,29.73619616,60.80675424,34.84313796,69.47139285,36.14717124,74.7163278,9.56275729,46.82588869,10.6835554,66.10753827
DKIBO2,107.723858,110.8158805,81.46759592,54.17277342,49.27991349,59.99381857,93.57637486,66.52581954,92.69809175,75.99063085,66.32881014,66.02544431,49.76354885,93.10996321,36.87616314,22.87162552,45.47410678,26.17980156,68.38411218,51.19471211,87.34888196,9.77613946,24.49534868,6.44625561,60.07594026
DKMBST,135.3476749,123.2646089,114.5979483,68.42524839,66.39289452,71.57402844,92.02463439,66.95128167,114.5230084,80.08796751,82.42571978,76.58514825,70.67048899,116.8138533,51.71448649,40.25165313,56.39114866,37.86554117,86.4199719,54.95498909,114.8263906,12.00636931,36.47737162,10.27185483,79.66653995
EA1027,112.2167181,82.37384585,59.49178378,64.04055617,46.65721029,55.88639049,65.17987022,57.9840544,77.94819827,52.02589225,73.12535807,33.82102761,42.91689939,112.0902822,32.11382334,31.56524374,46.39151351,27.27917382,61.76742264,33.38191557,74.77423199,11.07476048,30.66481579,12.92440993,58.22935567
EA1163,81.07059073,67.41266299,53.81616184,59.43910217,42.96890401,39.14506199,75.75398325,48.61444492,81.53108326,55.08905696,57.62943003,55.25842075,44.74937054,77.60136032,19.49641701,23.37016653,37.01554417,23.28512126,56.33333004,38.90995022,66.45495527,1.97329555,22.44097433,7.1164619,49.26176455
EA3076,98.65506235,96.79800503,86.41007024,57.74012625,42.79114513,55.32157353,73.90597407,64.40983701,95.20753216,71.22441667,64.1803199,68.42341637,64.41671498,86.22764967,33.48265355,42.46861578,50.79037063,33.01750486,67.6341003,27.06351341,67.29162955,20.69384418,39.69187294,20.79466243,66.02539943
EC136,106.3882016,90.9727082,81.11155495,56.51083249,47.44711272,38.78925351,113.3925464,61.62921218,91.00104178,56.22564591,70.64205751,75.61479829,53.05259879,91.48022294,14.89815535,24.89902637,42.59697291,27.19146053,74.61108304,29.98975342,76.80757669,10.28958766,52.56613617,14.43153598,51.26238509
EC140,104.2299623,90.07060629,100.4148347,67.34162048,57.27618647,60.85388529,106.5406874,77.89742174,97.82313204,81.69428639,72.20286964,83.05063002,74.88634653,105.8047106,36.09041621,38.12076616,51.63175549,33.62575494,78.20598381,47.44033646,82.67510758,12.69401828,39.2618792,15.87744862,66.27121432
EC151,100.6062484,71.91801723,92.2245674,85.81447527,54.2700416,57.0322458,114.8655857,71.71691754,81.44711369,63.15752028,80.41924917,47.95461359,51.93945567,110.9973796,52.07677028,48.0314855,46.44573093,28.82002028,67.14753744,49.42416787,87.00852363,21.72987871,53.62687627,36.45746671,75.85536624
EC169,110.5022434,92.23887237,104.5643566,62.86219727,48.42853804,47.09281871,100.3522087,65.73541687,87.48653423,56.48222955,59.80292702,55.40919009,53.28296309,83.16760343,30.44594704,38.89654643,48.00146812,27.51259027,60.17982412,52.77601643,94.87500785,9.11706327,33.38368132,14.81762643,60.43895203
EC175,84.3520169,91.86284442,99.51806463,57.56249974,33.48525982,57.16217309,102.1998383,78.02204363,96.07164076,70.25884172,63.64084967,55.72218991,52.65679154,75.20192483,26.66460236,25.81778739,50.60683925,28.66152198,72.08390819,31.38259653,78.11664463,1.97329555,20.24682134,6.60451718,67.15577502
EC232,108.5610659,90.68136969,90.33730663,51.39362892,46.46545153,52.5200276,92.94460631,61.15747197,88.68285345,73.50978135,74.41159763,38.3702258,57.28292418,103.185176,41.5963581,27.48295078,48.37350005,37.50822838,78.13598758,51.52620709,84.43020058,22.22743313,43.22133458,10.1588779,70.93872533
EC242C,109.7674376,108.9292804,102.5732373,68.44556936,55.34867073,59.33802074,126.4986372,80.88596437,96.25270418,78.92721569,73.57236819,61.96068984,56.86201329,92.07664043,44.7781388,40.78555885,71.9883146,34.78085041,74.00944626,60.22600358,97.60569898,15.50270359,53.33130621,19.84709538,78.33021751
EC334,97.94708201,96.14579291,106.5668033,60.67185721,46.33941503,68.3737767,136.8578618,85.32165041,102.6885168,89.24561821,73.76732843,69.92988434,71.66888819,74.36004881,34.345288,40.57701569,54.411246,34.23738979,97.36795307,42.82590488,83.07248357,7.10177344,36.37102314,14.09586368,59.26122112
EP10,94.19770561,82.42909342,82.62792152,44.37273027,38.72335486,47.91207215,67.40961102,37.61962669,66.30874607,40.51070293,54.54917878,54.98677186,45.39073478,83.95480511,24.48050064,22.53861127,45.85205644,36.81591021,57.92105006,33.08071113,64.26026893,5.65514626,34.38009679,22.69730386,44.28951989
EP2008-18,115.6189928,102.8089076,94.61686933,69.19965565,49.17339887,52.36044069,112.5127722,72.42407058,86.03502217,70.11150038,78.88270092,81.78536016,72.74159234,113.470917,39.99143246,37.76966301,57.72857459,50.86495447,75.59786147,44.11925236,84.09909797,4.58996881,42.32789865,22.6161295,60.77720959
EP2008-22,106.9618925,74.16572758,83.57330458,67.36733835,49.59156117,59.40156772,94.6459151,76.94984567,87.88906357,69.96602239,85.45353531,61.2791308,55.89598611,99.92791291,36.88892423,23.23151601,53.09057688,41.59666997,71.97156624,51.35727323,81.37676231,17.16627922,26.24467641,15.43379249,49.47403056
EP29,111.3902429,103.7594262,111.4201655,70.21764352,53.10101841,51.24175767,104.0887891,73.66872694,98.21342318,81.85816745,71.53106386,80.3098121,75.57436477,104.090122,30.68358724,47.1000793,50.7990159,45.05792251,65.86209956,36.24562737,80.28364366,26.79420595,58.42266787,30.52749757,60.89147162
EP51,95.18578379,96.83919669,77.78234616,55.75476719,44.35197945,54.63438048,71.54708459,51.9170731,83.64493747,72.3367537,71.7566235,62.84616969,53.36888596,88.6019372,36.32448331,24.27526191,38.27727131,19.62547341,71.46994068,38.79072233,77.06374081,7.78978492,19.59867267,12.43818454,49.78447691
EP52,114.2322088,118.8002761,84.03247935,69.84565587,59.7413059,65.34986577,134.5822031,71.97517376,93.60530614,70.870145,81.99504556,79.39357139,65.39337033,108.561846,36.38007973,57.18693227,44.57785977,39.81548817,75.5506624,44.70641589,89.72195803,24.91387248,54.86129444,23.14732685,77.81239842
EP55,92.50375368,73.0745577,81.33966328,58.65207468,37.54107523,53.3163771,85.55063873,61.90745904,72.76373524,62.23031653,69.77471593,59.10205563,51.40831277,86.65427894,40.36930512,40.88521297,48.88063383,36.175628,48.01724008,38.11836075,69.61859868,13.75283569,42.65954281,21.6396286,63.75897949
EP67,98.97218134,83.38081861,80.04697231,52.30073696,56.82463812,47.89318222,97.8392576,63.57507183,74.16526077,61.67429037,68.02016585,58.37890507,47.02298472,89.99925194,34.64646825,42.71935786,46.05909679,35.17354257,43.90269549,37.5181067,76.67458603,11.6112405,28.16562962,11.48235329,60.10915259
EP72,105.4154788,75.91429416,81.48046998,42.87135563,30.20909213,50.04743677,79.65122134,45.41003206,80.13925193,44.14352054,55.73061357,33.20675708,34.21446388,83.22183413,28.39009369,37.40510945,47.18256202,26.98631244,59.9155484,36.15573844,79.39068541,7.03510478,25.73166757,15.99460442,48.64125485
EP77,102.9416915,90.01519618,71.8485351,54.09553581,39.18635508,33.71661785,73.16530772,46.04642465,76.1132865,52.65773661,55.38826061,69.16060125,43.58478925,82.36922993,17.00855008,38.82232551,58.29449927,25.51810973,65.41811967,29.64541302,79.96634235,4.14355959,26.6860105,12.33837635,38.94369585
EZ11A,108.5852073,114.4790695,98.83956296,72.56529165,60.69700734,63.54329346,116.0569357,79.12943069,103.4801769,84.59404003,87.51768685,92.33246925,84.04278688,115.3078977,42.32468351,52.04682762,52.83436391,42.62327393,79.40485901,41.64948352,82.06476111,27.58520896,60.83299381,25.85620188,62.99618503
EZ18,120.5525984,112.2589656,94.19379531,58.1146769,58.67388808,62.03464798,83.81370437,75.19774675,90.28005063,77.59852555,71.30098991,81.96822287,70.95840906,107.4283806,32.82566359,57.30143855,63.215646,44.14859573,72.15932629,34.15205749,85.61236347,21.03745024,49.7540023,23.86758335,68.14360512
EZ31,114.1174883,108.4883445,106.5533624,63.89497018,47.47731065,61.39921589,100.832076,71.23290064,89.62882315,88.81010109,76.11116538,77.80589981,74.66122663,101.5258016,26.31613603,33.34415379,44.48397573,30.16040527,76.14855763,42.15155027,85.29283375,6.90334262,24.78322054,7.01262044,70.59515806
EZ34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EZ35,116.9040563,90.36734719,98.15336942,69.95262355,51.51132889,55.31659523,101.7644001,79.5134989,102.6157605,79.22245936,83.821857,88.38315637,79.00557525,88.46193267,41.59559337,36.90675875,52.75376734,39.47640072,79.2451163,32.92709989,71.71359277,9.44944069,36.57944554,17.63352616,73.82371337
EZ36,117.5818685,100.1238051,89.57619734,64.48079787,55.18727382,52.12702474,108.8276775,73.0209876,110.094418,86.51779296,77.50711331,80.49398362,62.2206251,113.3120099,55.07988995,54.69538909,58.61706251,49.30346603,83.30157273,50.33098866,82.75219684,30.27556399,56.02748759,32.1556282,70.08099088
EZ37,118.9402879,112.0912224,109.1437663,60.97188161,50.96467166,59.03871911,111.1588244,72.04654118,86.78472405,74.56033727,73.5445962,74.32483319,66.560325,107.573429,42.53923002,46.50198347,63.02591181,42.69877568,77.43360888,52.0747058,85.47108983,10.46270928,54.94585311,16.55047679,54.94519875
EZ38,124.8278127,103.4484335,97.44250715,56.24038498,52.57488705,65.61929507,81.58824617,76.15214749,109.4513246,86.25356955,84.38790869,70.0800649,69.66788529,117.0948591,40.8224944,42.45136442,53.99533769,39.37087322,88.11199126,55.81790186,72.46940135,8.79875362,47.00613976,31.54217042,71.98090381
EZ40,107.8265812,103.8210117,95.91667897,70.21879443,52.32160499,69.11857596,134.6294761,105.8390242,99.50739176,80.40305367,88.86736543,64.52729082,67.29172779,118.1686594,60.94065058,45.27761084,52.33077855,44.51905167,98.9976071,51.55689865,93.52828649,13.28582857,55.78340982,29.74295859,64.27396838
EZ42,120.39301,118.5008532,95.10803208,68.58451151,56.44229347,74.48073664,128.512655,78.74082967,109.9954775,92.48819222,81.27366231,62.5406331,65.1303253,108.0894379,50.72464216,52.03106603,48.82888806,37.54073839,74.67365698,50.59279962,94.47640698,14.99157562,46.56686848,26.76013082,72.51197542
EZ47,98.04412142,96.54189622,94.73616295,39.83116856,39.8296522,57.49418391,118.8863602,77.37514749,86.49697662,75.10867551,73.58670463,77.09322152,72.94782475,107.1105691,46.07843849,32.98090479,63.74464198,31.99403687,75.51613442,30.03080129,70.81553508,4.5008706,23.28299359,9.24170318,68.02273548
EZ48,131.0766572,125.804968,113.6738358,70.87842231,52.82823548,58.79686854,120.6997397,78.93979421,97.47174738,78.623495,84.32205843,79.25854534,80.45893926,110.3921991,38.94222575,47.39825227,57.73823042,38.4266267,82.15280674,42.56990118,92.23983104,12.0837377,52.84005074,21.43174164,67.15738635
F04401,107.0506127,90.23847919,103.6151055,72.53063827,58.38349783,55.88627405,117.5027256,89.68469576,91.44885514,75.98169304,77.23951468,87.31528553,74.81954927,103.0608637,45.18259114,44.38584573,56.07388607,44.70168348,71.78584131,59.18797159,88.79147822,14.79075597,59.05163174,29.23597727,80.01126845
F04402,110.1539264,100.8610992,105.7374847,54.2211396,54.573765,64.38390412,119.9015517,94.05599836,96.94669803,81.85816745,76.92132802,89.78524719,81.40314407,103.7793813,43.39009821,51.93617941,46.83051881,23.33552792,71.55868918,56.96210047,84.8074495,7.48352679,50.24910974,23.95294769,83.26506797
F04701,128.5929759,115.3659057,99.47743662,71.91541189,61.0521489,66.11928748,89.98958325,74.80365175,109.5318002,82.81463516,84.18417997,75.19251513,81.81848395,108.3627328,38.15247948,33.00836252,62.57167446,28.64975501,82.93507369,46.49000033,97.80513268,11.95989436,30.80632389,6.58437883,69.82957719
F04702,125.988644,117.1789373,92.40231269,56.66142969,47.97830705,67.68877926,100.0225215,87.83428275,108.8125356,71.6246831,77.66072214,52.94738835,58.51684584,104.6448294,34.06485598,26.03208748,53.4743404,34.22402594,71.88491103,41.802236,104.5117268,6.9870995,24.23431965,5.39504803,69.78429319
F05101,117.8871627,115.9701347,110.5104607,61.25304321,57.26570639,58.95238811,118.9343375,75.48547772,113.2387105,95.52318878,76.48412026,86.17553013,84.37293072,101.585145,42.18876519,27.80535699,54.88332111,39.12598627,78.41864161,57.05259289,96.22913582,9.17669914,60.83573165,16.28871723,71.34010306
F05404,121.7390315,114.7485718,104.6877414,74.87082425,71.49434785,57.79346852,140.8761446,106.7301827,112.4664854,105.8716307,81.21762624,87.05411728,77.8323976,117.5502233,49.62177084,49.5024425,48.60648392,37.94984117,91.56216818,63.74471655,92.79902942,12.96823133,49.63704317,16.09478311,74.44965118
F1808,116.4024819,109.7846452,97.00302506,74.1925221,57.17503756,69.90793302,118.7299281,92.7227762,104.6178112,74.01281788,80.57435936,76.81532286,66.63133739,104.5914488,43.66013701,48.19024589,54.38811464,31.61896944,75.05253611,50.78827166,99.2130485,9.64712325,47.20400228,16.66581637,65.52507781
F1890,118.1655177,102.6233752,101.9381034,64.55045017,63.73155848,72.33807718,125.0234068,114.899122,100.6417589,77.26884097,86.22541002,82.38579019,76.30665475,112.8237688,48.27541986,46.07151636,53.16276477,43.54337563,81.44887667,63.65197124,101.7769582,16.36559694,54.37850987,22.64296979,78.9093155
F218,98.97343576,86.40599654,101.7226171,57.98089289,54.4857935,47.3923492,95.9686878,61.3121721,68.71297098,56.59389256,65.69666892,42.96556507,43.81905729,81.72974742,35.47386849,44.35446745,55.63389245,33.87855934,63.82877901,52.56684485,79.44559786,18.94695217,24.05605235,13.29537443,65.92113897
F252,77.47393048,68.71952786,57.89483402,52.5376864,31.53095873,36.23016886,69.36319914,49.14064977,59.83161526,47.71713959,59.1875523,43.72567533,40.98694712,72.3666755,24.51768735,22.81137333,45.33506235,28.26046468,48.21364776,38.81779856,64.46289206,9.12732305,26.19601223,11.08822951,60.50253356
F353,103.5050324,94.12468002,103.1902359,55.93959418,43.86503773,45.38378431,109.8197731,76.61244598,89.79940223,66.39528309,66.57537542,66.85875294,59.57946548,90.33183482,39.5252817,36.72621942,44.24332004,33.87570155,69.30684705,46.43397161,85.67374451,20.892894,49.88931423,28.73877364,70.11252555
F354,101.09621,72.76230744,65.02598323,67.13034029,53.16825306,43.02055029,90.53947044,82.36809718,78.72751857,71.69104886,77.80174212,61.24178677,53.35172451,85.41505036,49.67014563,46.83910567,54.1399732,35.41395434,72.08297741,50.68611534,81.42256658,13.81824412,38.87374122,20.53555877,66.97884266
